가나, 55, 140
마다, 95, 188
하아, 61, 162
가나, 90, 190
바차, 83, 184
카마, 82, 152
타가, 99, 171
나나, 44, 150
아차, 46, 177
자타, 41, 154
자다, 80, 196
사바, 41, 182
다라, 66, 183
타가, 71, 166
바타, 71, 159
파차, 79, 154
파바, 48, 199
카차, 51, 158
마차, 72, 149
다나, 62, 194
차나, 78, 189
하마, 78, 171
사파, 56, 141
하라, 81, 184
하하, 46, 143
카마, 69, 167
파바, 50, 159
바타, 44, 193
파마, 70, 155
카나, 42, 167
차라, 65, 195
사하, 43, 140
가차, 92, 154
자라, 54, 150
나아, 62, 188
마바, 83, 150
사바, 68, 167
가바, 79, 171
바카, 83, 158
아파, 87, 188
카바, 92, 185
바파, 47, 190
아가, 67, 197
차가, 67, 168
바하, 92, 183
하차, 89, 149
파아, 61, 159
타아, 52, 189
나사, 84, 176
다다, 73, 145
사다, 68, 183
가바, 57, 197
아카, 56, 179
하마, 90, 177
카바, 74, 147
나하, 96, 165
하마, 47, 155
아타, 95, 180
나가, 45, 146
카카, 71, 197
가나, 40, 183
차하, 70, 183
아하, 63, 164
다아, 99, 158
아마, 98, 166
바다, 85, 188
가차, 61, 192
차타, 58, 174
라사, 46, 191
자가, 75, 144
가카, 82, 190
가마, 88, 180
마바, 69, 181
나나, 90, 192
카타, 84, 168
사차, 91, 176
라다, 68, 189
하자, 68, 163
하나, 90, 183
차다, 51, 160
나바, 62, 179
아자, 53, 151
마아, 45, 156
타다, 82, 153
카자, 92, 182
자파, 65, 189
차차, 58, 178
라마, 61, 152
카하, 52, 171
바자, 42, 187
차아, 80, 148
바다, 50, 196
사아, 45, 156
차다, 87, 152
자마, 59, 187
파아, 65, 195
마타, 70, 182
나마, 55, 147
차나, 51, 176
타바, 57, 172
카마, 44, 177
라바, 43, 173
아사, 97, 146
다파, 83, 153
다다, 72, 196
차라, 82, 176
마바, 94, 166
라사, 74, 144
사라, 61, 188
아아, 82, 149
사아, 90, 166
하라, 57, 167
아다, 64, 142
나라, 82, 183
카사, 98, 152
차나, 70, 190
다파, 68, 197
하아, 74, 155
하바, 67, 177
바마, 66, 193
바나, 93, 145
라아, 86, 185
사하, 61, 193
가타, 53, 171
마아, 77, 166
다사, 55, 187
타바, 83, 168
사다, 63, 151
마카, 42, 196
카마, 62, 169
마자, 60, 185
카사, 41, 185
타마, 79, 141
바바, 46, 174
라자, 42, 193
사마, 58, 177
하파, 48, 190
아차, 93, 182
사카, 71, 183
나바, 79, 140
가마, 79, 187
차라, 42, 180
자하, 81, 190
다다, 78, 169
라마, 47, 140
파차, 77, 191
가파, 95, 188
라자, 86, 147
카가, 93, 150
사바, 64, 158
자사, 75, 140
아바, 90, 153
타라, 61, 191
자타, 49, 154
파아, 92, 166
나파, 76, 154
아라, 53, 158
자가, 64, 184
다사, 92, 176
파라, 94, 167
바나, 65, 145
바나, 95, 172
자아, 97, 178
타파, 49, 178
하아, 69, 141
카차, 66, 171
카바, 87, 199
바사, 67, 175
나가, 94, 158
타라, 54, 162
마차, 89, 150
바아, 80, 199
사나, 41, 187
마타, 56, 156
가하, 94, 199
바다, 44, 193
나라, 80, 176
자사, 50, 150
가자, 59, 156
사파, 85, 166
다자, 79, 198
가하, 75, 197
나나, 86, 161
라자, 64, 149
아차, 73, 189
아차, 57, 161
사아, 93, 180
바자, 77, 143
차타, 76, 194
가카, 55, 157
자파, 79, 173
마카, 55, 194
바가, 55, 175
나타, 47, 146
라차, 83, 167
라차, 46, 190
하차, 57, 188
라자, 55, 141
라아, 80, 187
아바, 53, 155
다사, 60, 163
바자, 59, 148
나하, 94, 190
다라, 81, 159
마자, 65, 153
카하, 56, 184
라파, 47, 141
